epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec,elapsed_time_sec
1,1.738280297342936,0.39566666666666667,1.2214543117523193,0.5518,0.5518,4.433729976415634,4.433846678584814
2,1.2162336219151815,0.5656444444444444,0.9008278312683106,0.6674,0.6674,4.403455317020416,9.389106556773186
3,0.9898125525898404,0.652,0.8287483955383301,0.7102,0.7102,4.430639956146479,14.527611255645752
4,0.8700069410324097,0.6948,0.7589654022216797,0.7318,0.7318,4.465877298265696,19.745400946587324
5,0.7903226067119175,0.7244222222222222,0.6532521045684815,0.7736,0.7736,4.495585709810257,24.757986821234226
6,0.7249210832701789,0.7483555555555556,0.7118289423942565,0.7574,0.7736,4.460050728172064,29.684871703386307
7,0.671054513168335,0.7695333333333333,0.7651812017440796,0.7412,0.7736,4.427460253238678,34.376082837581635
8,0.6283043791876899,0.7834888888888889,0.5854310933113098,0.7906,0.7906,4.425138525664806,39.08403915166855
9,0.5876535526805454,0.7998,0.5418146597385407,0.816,0.816,4.435261521488428,44.07532847672701
10,0.5547696072790358,0.8080888888888889,0.5092048547267913,0.8248,0.8248,4.4499590285122395,49.234714072197676
11,0.5241058369848464,0.8211111111111111,0.5185063838005066,0.8174,0.8248,4.4617570750415325,54.27348219230771
12,0.49142572674221463,0.8325555555555556,0.5616694549560547,0.8068,0.8248,4.453349854797125,59.17150751873851
13,0.46953015185462105,0.8392666666666667,0.44380439977645875,0.8532,0.8532,4.4429649487137794,63.96165028214455
14,0.4474274213049147,0.846,0.48685961713790893,0.8378,0.8532,4.434677731245756,68.92034667357802
15,0.4277189911418491,0.8548444444444444,0.5541003967285156,0.8108,0.8532,4.4389660730957985,73.62335417419672
16,0.40633490987353854,0.8627333333333334,0.41562836303710937,0.854,0.854,4.480936914682388,78.38347098603845
17,0.3859921089596218,0.8672444444444445,0.49632038950920104,0.8374,0.854,4.521929923444986,83.56841915473342
18,0.36887307400173613,0.8744222222222222,0.45204796538352965,0.8488,0.854,4.4623469933867455,88.3250891007483
19,0.3489356777667999,0.8812222222222222,0.39668602509498596,0.86,0.86,4.450761456042528,93.02010705322027
20,0.3347534689585368,0.8858444444444444,0.39552960999011993,0.8674,0.8674,4.452857483178377,98.02846990525723
21,0.31264071860843234,0.8944222222222222,0.39299067049026487,0.8652,0.8674,4.450582467019558,103.1700148768723
22,0.3035183428446452,0.8962666666666667,0.3753144670963287,0.8746,0.8746,4.431561958044767,108.06049743294716
23,0.28949705980088974,0.9000888888888889,0.39018878347873687,0.8738,0.8746,4.464418299496174,113.3764224871993
24,0.274537371995714,0.9058666666666667,0.38522220503091814,0.8778,0.8778,4.449434883892536,118.37830282002687
25,0.261295075946384,0.9104444444444444,0.3944833275794983,0.8694,0.8778,4.447199210524559,123.64124089479446
26,0.24968767336739434,0.9133555555555556,0.3511132860183716,0.8856,0.8856,4.447683226317167,128.40078703686595
27,0.23982506334516737,0.9177111111111111,0.34157801094055174,0.8882,0.8882,4.438135601580143,133.4317872747779
28,0.2229107228702969,0.9230444444444444,0.35203610372543337,0.8854,0.8882,4.463982485234737,138.60472600534558
29,0.2135393252266778,0.9273777777777777,0.33362372682094577,0.8968,0.8968,4.528153367340565,143.3470572307706
30,0.20864748537805344,0.9281777777777778,0.35838046877384183,0.889,0.8968,4.478658936917782,148.54246873781085
31,0.19203462023470136,0.9332222222222222,0.3456016872882843,0.8906,0.8968,4.448421485722065,153.30577728524804
32,0.18457889836629232,0.9370444444444445,0.3428531501889229,0.8948,0.8968,4.439347513020039,158.05617650970817
33,0.17585490054686864,0.9388,0.3431339866876602,0.8924,0.8968,4.445127207785845,162.7863001972437
34,0.1624326300356123,0.9441555555555555,0.35460616747140883,0.8936,0.8968,4.417006265372038,167.5125371851027
35,0.16031873960494994,0.9442666666666667,0.3337979945719242,0.8994,0.8994,4.463022794574499,172.3640779480338
36,0.14832293317980236,0.9472666666666667,0.34671582554876806,0.895,0.8994,4.507340881973505,177.43853152170777
37,0.1440958478755421,0.9490888888888889,0.33706327493786814,0.9022,0.9022,4.444580048322678,182.14641774073243
38,0.13588709757725398,0.9527111111111111,0.33842830628752707,0.8978,0.9022,4.42973143607378,187.17418049275875
39,0.13046160378456115,0.9554,0.33691219762563707,0.9018,0.9022,4.45707280933857,191.99574694037437
40,0.12548041438394122,0.9568,0.33710608144402504,0.9024,0.9024,4.434131942689419,196.7195035070181
41,0.1221922040892972,0.9578888888888889,0.32930902754068375,0.9036,0.9036,4.49252512678504,202.30859322473407
42,0.11556907121075524,0.9596666666666667,0.3338754274457693,0.9042,0.9042,4.504498660564423,207.47173623740673
43,0.11292994770473905,0.9610222222222222,0.33710512445867064,0.9022,0.9042,4.429603204131126,212.39980147778988
44,0.11089905114836163,0.9622444444444445,0.336106314522028,0.9044,0.9044,4.440817229449749,217.068687222898
45,0.10938069367541207,0.9624,0.3367143969297409,0.902,0.9044,4.46314762532711,222.38745161890984
46,0.10561542480786641,0.964,0.3340821312725544,0.9048,0.9048,4.447214443236589,227.1340047866106
47,0.10510003222094642,0.9632222222222222,0.3345670137912035,0.9068,0.9068,4.501819930970669,232.24025099352002
48,0.10073759996030066,0.9646,0.3355890520513058,0.9062,0.9068,4.498122464865446,237.56602731347084
49,0.1046594803876347,0.9645111111111111,0.33457117536067965,0.9072,0.9072,4.46247848495841,242.27786952629685
50,0.1044351701259613,0.9647777777777777,0.33356661273241045,0.9072,0.9072,4.431200370192528,247.2306055240333
